N,P,K,temperature,humidity,ph,rainfall,label
32.47,64.58,21.6,19.07,25.81,5.71,106.92,Kidneybeans
2.57,66.33,15.92,22.21,26.94,6.12,139.22,Kidneybeans
17.88,78.42,22.33,18.97,27.84,5.72,86.45,Kidneybeans
20.44,64.19,17.36,22.25,24.35,6.09,92.17,Kidneybeans
11.35,69.19,15.22,19.35,21.58,6.5,125.51,Kidneybeans
25.79,75.4,17.88,20.72,25.5,6.07,133.63,Kidneybeans
30.49,69.3,15.86,17.34,24.69,6.02,79.57,Kidneybeans
43.09,76.98,21.51,19.66,24.47,5.76,106.74,Kidneybeans
26.93,59.74,20.84,19.15,20.23,5.78,95.69,Kidneybeans
39.16,70.98,16.66,20.59,21.13,6.27,94.4,Kidneybeans
24.3,75.79,16.78,16.36,23.54,6.26,70.81,Kidneybeans
3.76,64.68,21.38,22.2,23.84,5.9,130.96,Kidneybeans
10.98,65.07,20.48,20.51,23.73,6.01,49.01,Kidneybeans
20.06,70.33,17.54,19.63,26.12,5.91,108.84,Kidneybeans
17.78,66.21,21.53,19.85,23.53,6.06,121.08,Kidneybeans
9.63,74.74,19.16,20.46,27.99,5.66,89.04,Kidneybeans
22.84,62.6,24.34,17.57,23.61,6.05,77.95,Kidneybeans
22.03,69.48,19.17,19.29,23.68,5.62,112.24,Kidneybeans
38.16,67.62,20.56,21.06,21.83,6.43,109.55,Kidneybeans
37.24,62.92,24.55,21.24,26.38,6.06,99.41,Kidneybeans
34.0,68.38,15.08,16.99,24.54,6.08,103.73,Kidneybeans
34.14,55.31,20.36,15.41,26.9,5.98,114.44,Kidneybeans
18.52,75.5,22.6,20.81,24.68,6.14,89.09,Kidneybeans
31.42,77.81,22.68,17.86,25.9,5.68,117.88,Kidneybeans
28.38,55.81,17.1,18.86,24.25,5.7,113.75,Kidneybeans
26.89,66.29,18.11,21.86,29.14,5.88,91.23,Kidneybeans
28.68,65.26,19.65,21.16,20.23,6.33,106.64,Kidneybeans
21.91,66.94,19.91,15.6,28.74,6.01,114.97,Kidneybeans
32.14,61.12,21.18,18.9,27.12,5.47,102.77,Kidneybeans
20.48,70.2,21.18,17.91,23.22,5.97,84.83,Kidneybeans
31.31,65.19,12.73,18.66,22.4,5.59,77.16,Kidneybeans
25.82,75.8,20.78,18.14,26.14,5.89,89.37,Kidneybeans
16.34,56.55,19.03,19.86,24.76,5.9,83.72,Kidneybeans
29.56,59.27,21.94,17.25,23.12,5.63,93.72,Kidneybeans
32.31,70.72,22.45,20.67,22.24,5.92,87.45,Kidneybeans
34.98,60.02,22.23,21.51,29.57,5.9,121.03,Kidneybeans
42.11,63.64,16.16,15.27,26.78,5.53,96.62,Kidneybeans
28.28,68.66,21.06,20.0,28.2,5.76,89.77,Kidneybeans
19.21,72.69,22.25,20.52,27.96,5.71,142.51,Kidneybeans
36.42,72.1,24.45,15.77,23.69,5.82,121.23,Kidneybeans
17.12,72.23,23.43,21.06,25.71,5.75,85.95,Kidneybeans
34.37,72.37,19.9,18.56,19.94,5.73,148.01,Kidneybeans
15.4,68.68,22.52,16.68,25.46,6.23,105.28,Kidneybeans
46.51,57.07,22.65,19.11,26.93,6.11,88.5,Kidneybeans
26.72,55.89,21.51,20.17,26.6,6.26,113.27,Kidneybeans
26.11,61.99,18.22,22.17,28.59,5.94,106.04,Kidneybeans
18.22,74.83,21.66,23.87,22.8,5.91,110.21,Kidneybeans
29.85,66.15,17.82,21.48,26.8,5.77,135.5,Kidneybeans
33.78,68.34,20.2,20.75,22.85,6.01,56.57,Kidneybeans
31.57,57.74,23.76,18.76,24.47,5.84,98.52,Kidneybeans
35.64,51.95,23.19,20.26,21.98,5.73,142.72,Kidneybeans
17.91,60.29,22.84,20.26,22.66,6.05,81.92,Kidneybeans
33.26,74.13,21.33,20.31,29.4,6.0,78.41,Kidneybeans
28.37,80.54,17.46,18.69,26.04,5.99,82.9,Kidneybeans
33.41,82.0,20.49,17.47,21.13,6.06,129.84,Kidneybeans
28.56,67.48,18.53,17.04,27.09,6.23,70.22,Kidneybeans
36.92,71.09,23.5,16.48,21.59,5.96,116.31,Kidneybeans
38.47,71.91,19.39,17.19,28.08,5.76,141.64,Kidneybeans
22.87,77.44,21.7,19.19,23.7,5.91,114.64,Kidneybeans
25.58,63.79,19.59,19.68,19.68,6.11,82.96,Kidneybeans
16.35,56.95,15.52,26.61,51.45,7.47,130.54,Pigeonpeas
26.33,70.0,20.33,29.81,49.02,7.16,194.7,Pigeonpeas
12.38,61.1,19.3,27.59,57.53,5.79,204.54,Pigeonpeas
33.93,68.83,22.57,32.76,52.18,5.74,147.15,Pigeonpeas
31.46,68.37,16.06,27.99,54.63,6.2,199.24,Pigeonpeas
14.61,70.66,23.72,35.68,52.98,6.56,160.67,Pigeonpeas
26.47,66.88,21.09,23.67,58.41,6.33,138.88,Pigeonpeas
40.35,63.28,18.99,34.98,50.84,5.91,140.96,Pigeonpeas
31.31,68.8,16.77,28.67,51.96,6.2,156.71,Pigeonpeas
28.14,56.4,22.66,30.63,61.92,6.53,175.29,Pigeonpeas
28.5,75.91,21.31,29.76,66.36,6.81,160.78,Pigeonpeas
15.43,59.45,20.73,30.36,51.93,6.34,188.69,Pigeonpeas
30.22,60.37,19.72,27.99,53.06,5.99,131.86,Pigeonpeas
15.59,66.7,18.6,22.68,65.26,6.93,134.65,Pigeonpeas
25.14,60.18,24.24,34.74,55.78,6.89,149.82,Pigeonpeas
14.97,64.93,20.33,28.86,53.91,6.19,142.78,Pigeonpeas
25.39,60.87,18.21,26.79,59.89,4.93,176.72,Pigeonpeas
35.4,65.61,13.49,29.1,54.68,5.62,130.83,Pigeonpeas
36.48,71.66,17.69,26.01,53.36,6.12,158.65,Pigeonpeas
20.99,70.7,24.84,32.04,54.76,6.14,135.19,Pigeonpeas
33.85,63.58,20.11,30.13,52.49,5.39,153.88,Pigeonpeas
24.54,70.63,18.67,33.05,50.62,7.32,96.94,Pigeonpeas
28.26,70.47,18.01,31.06,61.4,4.86,158.83,Pigeonpeas
6.3,61.46,24.07,28.55,49.13,6.13,201.87,Pigeonpeas
11.26,60.93,23.74,34.64,54.48,5.48,202.64,Pigeonpeas
36.96,71.74,17.97,29.88,54.2,6.46,184.9,Pigeonpeas
31.6,60.77,23.44,30.78,58.44,7.17,114.43,Pigeonpeas
24.73,64.18,16.08,30.87,67.56,5.1,144.11,Pigeonpeas
29.8,68.27,19.72,26.75,56.16,5.78,84.78,Pigeonpeas
33.96,73.49,20.13,30.57,60.37,6.39,169.86,Pigeonpeas
22.77,75.7,20.8,30.49,48.65,6.43,122.12,Pigeonpeas
20.21,62.4,17.33,35.31,61.66,7.45,111.37,Pigeonpeas
25.53,59.42,18.26,27.7,61.2,6.0,174.38,Pigeonpeas
29.53,81.9,16.3,33.15,60.73,5.64,172.7,Pigeonpeas
27.52,66.08,17.94,28.2,65.25,6.25,166.51,Pigeonpeas
19.07,62.63,22.7,26.63,52.92,6.27,148.06,Pigeonpeas
23.66,69.97,21.73,31.84,50.07,6.07,177.86,Pigeonpeas
31.71,58.92,20.88,25.05,55.23,7.44,118.93,Pigeonpeas
18.74,72.28,16.14,28.42,57.98,5.85,138.51,Pigeonpeas
30.58,70.13,20.67,29.15,56.85,6.17,157.59,Pigeonpeas
21.27,66.36,17.53,29.91,50.94,5.55,152.11,Pigeonpeas
26.6,72.39,18.92,31.02,57.75,6.53,122.29,Pigeonpeas
26.12,69.78,20.02,24.78,55.8,7.63,135.1,Pigeonpeas
19.54,69.83,20.78,32.98,48.71,6.71,161.24,Pigeonpeas
23.93,69.62,22.57,32.18,49.28,6.76,143.22,Pigeonpeas
25.55,67.96,19.62,32.98,54.58,5.55,134.18,Pigeonpeas
26.34,75.18,21.51,27.87,67.43,6.42,180.07,Pigeonpeas
23.86,70.83,22.1,33.05,60.29,6.8,136.34,Pigeonpeas
20.71,69.58,22.33,29.44,60.33,7.16,119.8,Pigeonpeas
18.72,66.62,20.77,28.69,61.76,6.52,146.08,Pigeonpeas
14.23,59.28,20.7,24.67,60.06,6.15,234.19,Pigeonpeas
42.31,66.37,19.73,32.49,63.52,5.23,95.87,Pigeonpeas
20.33,71.14,21.24,32.67,49.0,4.8,168.6,Pigeonpeas
18.79,54.88,20.36,31.98,54.39,5.96,140.62,Pigeonpeas
22.22,59.07,18.21,31.3,56.61,6.36,117.63,Pigeonpeas
23.64,53.89,20.45,33.57,47.63,5.88,154.05,Pigeonpeas
34.4,64.7,18.27,25.08,55.52,7.53,152.63,Pigeonpeas
24.83,69.51,19.97,27.97,59.12,6.39,145.48,Pigeonpeas
17.68,75.65,21.66,28.62,60.01,5.94,123.49,Pigeonpeas
19.3,56.43,21.18,25.42,48.86,4.95,142.63,Pigeonpeas
23.87,65.46,17.39,27.07,57.32,5.91,153.7,Pigeonpeas
18.36,68.63,23.26,31.47,52.94,6.41,138.38,Pigeonpeas
25.06,65.46,19.59,30.53,50.03,5.62,106.82,Pigeonpeas
13.0,59.89,20.4,27.77,57.57,6.27,90.87,Pigeonpeas
29.91,72.57,17.52,31.05,50.72,6.31,110.23,Pigeonpeas
11.55,65.11,19.69,29.01,49.08,6.0,152.41,Pigeonpeas
24.66,68.64,18.32,32.93,49.12,6.55,177.5,Pigeonpeas
28.61,66.23,18.68,32.59,47.89,5.64,134.07,Pigeonpeas
34.28,69.87,17.58,29.22,51.93,5.81,171.92,Pigeonpeas
14.71,77.55,22.07,32.73,52.69,6.16,105.59,Pigeonpeas
21.07,70.59,23.24,27.23,53.17,6.16,106.62,Pigeonpeas
29.44,62.98,19.51,28.87,51.05,6.25,139.07,Pigeonpeas
22.21,62.95,20.8,34.13,55.7,6.87,106.77,Pigeonpeas
26.18,60.64,16.31,28.15,60.96,6.84,151.68,Pigeonpeas
13.5,66.27,20.75,30.44,45.78,5.69,143.24,Pigeonpeas
29.02,53.77,19.59,30.36,59.25,6.68,161.02,Pigeonpeas
19.0,55.57,19.02,32.5,61.97,6.69,156.81,Pigeonpeas
27.85,64.02,19.67,34.17,50.29,7.26,136.14,Pigeonpeas
34.94,58.71,21.46,28.16,47.92,6.39,172.76,Pigeonpeas
18.66,58.13,19.77,29.78,57.74,6.84,143.37,Pigeonpeas
38.92,68.9,19.13,25.97,53.69,6.04,171.41,Pigeonpeas
28.47,60.13,20.43,31.68,62.64,6.8,165.92,Pigeonpeas
25.45,69.93,23.12,26.67,53.25,5.77,155.43,Pigeonpeas
34.23,63.77,14.02,28.97,59.57,6.59,156.78,Pigeonpeas
22.9,59.51,21.29,27.91,65.92,6.61,129.03,Pigeonpeas
20.41,66.92,19.4,32.79,55.93,5.79,196.99,Pigeonpeas
25.37,72.31,18.48,30.91,56.56,5.07,200.42,Pigeonpeas
34.68,65.02,17.24,30.87,55.43,6.47,150.27,Pigeonpeas
28.8,76.55,21.42,27.38,61.81,7.28,231.68,Pigeonpeas
16.57,69.02,14.79,31.38,52.26,7.45,123.7,Pigeonpeas
12.33,64.55,15.06,31.88,44.67,6.27,87.86,Pigeonpeas
22.6,77.77,20.9,27.84,54.84,6.26,158.0,Pigeonpeas
14.75,71.2,13.24,28.43,52.56,6.65,145.62,Pigeonpeas
14.46,61.34,20.5,29.8,52.1,5.95,164.14,Pigeonpeas
21.12,66.95,25.42,26.44,45.74,6.74,126.34,Pigeonpeas
22.61,62.62,19.35,34.0,59.01,6.79,106.05,Pigeonpeas
16.37,49.76,17.98,32.39,57.58,6.11,144.39,Pigeonpeas
19.83,68.78,21.91,25.96,56.5,6.83,133.58,Pigeonpeas
30.26,85.09,19.74,30.98,51.31,6.36,157.66,Pigeonpeas
26.46,61.13,20.52,33.66,57.24,6.85,138.48,Pigeonpeas
30.62,69.25,17.62,30.8,50.04,5.85,150.21,Pigeonpeas
27.23,60.07,22.63,31.43,51.48,5.29,141.02,Pigeonpeas
21.66,68.21,19.09,24.98,53.06,6.06,162.43,Pigeonpeas
19.76,77.99,15.22,33.28,53.88,6.79,147.19,Pigeonpeas
33.55,65.08,17.25,33.55,54.43,6.39,178.96,Pigeonpeas
17.26,71.22,18.53,29.67,55.36,5.31,123.58,Pigeonpeas
35.13,73.04,19.84,30.61,53.53,7.1,139.49,Pigeonpeas
26.74,74.66,18.06,33.9,47.35,7.27,134.75,Pigeonpeas
23.18,55.69,18.86,27.4,51.96,6.16,171.34,Pigeonpeas
26.56,69.42,17.26,27.8,63.99,5.79,190.55,Pigeonpeas
23.18,67.51,22.68,33.18,54.45,6.01,143.46,Pigeonpeas
27.53,73.07,20.01,31.55,63.19,6.49,153.57,Pigeonpeas
13.61,51.06,20.97,29.76,52.43,6.4,143.34,Pigeonpeas
33.46,68.04,18.13,32.48,53.91,6.58,131.87,Pigeonpeas
20.13,68.03,20.03,31.2,53.66,5.1,133.1,Pigeonpeas
30.95,65.64,19.38,32.47,51.44,5.29,140.58,Pigeonpeas
21.37,61.46,19.56,31.23,54.95,6.44,194.87,Pigeonpeas
22.43,69.24,18.73,27.88,52.08,5.95,154.89,Pigeonpeas
42.62,63.02,18.96,29.84,56.98,6.41,180.31,Pigeonpeas
6.8,52.58,18.76,32.74,47.17,4.37,160.71,Pigeonpeas
26.83,40.69,17.54,26.06,53.19,6.53,58.06,Mothbeans
3.59,42.14,17.18,27.49,49.14,7.6,31.58,Mothbeans
25.34,50.99,24.64,27.04,54.53,5.65,25.59,Mothbeans
31.34,47.47,22.95,25.25,55.75,8.4,57.22,Mothbeans
27.07,47.55,16.07,30.71,48.68,7.38,34.92,Mothbeans
16.15,56.47,19.13,30.91,52.01,5.62,62.54,Mothbeans
20.58,51.87,20.06,24.91,53.53,8.65,58.05,Mothbeans
24.57,54.22,20.53,28.42,45.68,7.18,64.15,Mothbeans
18.73,56.4,19.77,26.22,58.74,6.78,61.04,Mothbeans
22.81,47.13,21.23,28.58,40.03,6.16,62.96,Mothbeans
24.01,44.23,16.6,25.84,39.86,6.92,45.77,Mothbeans
17.75,47.07,20.91,32.19,43.05,7.87,63.45,Mothbeans
19.16,48.77,18.86,28.37,61.93,7.45,58.22,Mothbeans
21.77,38.22,19.48,30.41,42.96,6.21,53.92,Mothbeans
17.62,42.55,18.94,25.27,46.41,7.53,37.79,Mothbeans
13.02,43.56,21.83,27.61,49.6,7.03,32.86,Mothbeans
28.71,49.9,18.98,30.01,45.45,7.85,54.24,Mothbeans
22.48,47.38,19.73,30.44,45.77,6.43,64.16,Mothbeans
20.53,53.13,24.25,27.2,56.76,6.13,60.99,Mothbeans
26.5,50.46,18.39,24.68,55.65,5.45,48.93,Mothbeans
32.06,48.7,24.87,30.05,48.41,7.02,51.97,Mothbeans
13.13,41.62,18.6,23.93,52.8,6.81,33.68,Mothbeans
28.03,51.97,20.57,27.35,56.2,7.51,55.96,Mothbeans
18.82,49.23,22.99,26.81,65.61,6.61,52.86,Mothbeans
19.96,48.9,15.64,26.91,45.67,7.1,63.69,Mothbeans
29.85,32.68,25.11,28.59,47.65,7.12,54.48,Mothbeans
20.0,48.74,18.48,27.19,48.21,5.93,54.14,Mothbeans
29.39,50.72,22.05,28.65,49.17,7.63,37.23,Mothbeans
18.24,41.47,22.7,29.89,55.55,7.8,42.61,Mothbeans
27.61,46.72,22.12,27.77,50.09,7.41,62.36,Mothbeans
19.99,47.12,17.35,23.0,53.75,7.46,55.45,Mothbeans
10.38,45.31,14.45,30.74,45.71,7.94,63.14,Mothbeans
18.25,40.42,20.88,26.31,53.14,6.64,32.46,Mothbeans
8.27,48.92,18.6,26.89,56.85,7.88,49.43,Mothbeans
22.45,50.63,16.61,28.45,55.95,7.51,30.71,Mothbeans
19.29,42.01,20.25,28.96,61.85,6.63,46.9,Mothbeans
33.62,49.35,23.17,28.58,45.27,6.0,35.05,Mothbeans
29.97,54.93,24.62,29.69,59.77,6.56,39.49,Mothbeans
31.38,50.11,20.27,28.77,54.52,7.96,67.07,Mothbeans
29.08,52.79,21.29,27.08,57.23,5.95,64.36,Mothbeans
16.04,49.29,17.89,29.11,52.29,5.8,57.23,Mothbeans
20.67,53.01,20.0,28.79,46.52,6.56,47.34,Mothbeans
31.43,57.98,17.99,30.15,38.94,6.1,41.71,Mothbeans
14.86,37.6,21.03,27.57,54.87,7.52,55.49,Mothbeans
29.93,47.07,17.03,30.12,48.82,6.3,50.5,Mothbeans
18.15,44.89,20.86,28.7,46.89,6.63,64.59,Mothbeans
28.72,60.47,22.95,30.29,43.83,7.57,51.9,Mothbeans
20.87,48.55,22.36,29.0,47.01,7.56,45.33,Mothbeans
26.63,45.6,19.45,29.53,46.0,8.46,32.01,Mothbeans
20.52,49.81,21.46,27.8,52.14,7.31,49.9,Mothbeans
35.45,52.75,22.18,26.07,52.0,6.77,41.19,Mothbeans
27.7,44.14,21.64,25.86,63.24,6.33,54.97,Mothbeans
30.94,43.93,22.13,25.54,61.58,7.01,45.79,Mothbeans
22.76,52.56,18.54,26.5,51.12,6.12,72.98,Mothbeans
20.75,52.7,20.52,26.03,52.46,7.59,50.38,Mothbeans
33.95,53.88,22.3,27.08,45.75,6.54,54.71,Mothbeans
29.09,33.93,19.98,28.32,50.77,7.97,57.25,Mothbeans
34.83,46.15,22.34,31.27,60.7,6.18,49.65,Mothbeans
22.41,50.56,21.72,26.32,52.92,5.49,68.72,Mothbeans
21.16,47.85,19.23,30.29,34.77,6.99,51.31,Mothbeans
21.6,58.29,17.78,29.54,54.73,7.95,44.99,Mothbeans
19.5,54.35,21.06,24.91,49.13,7.29,61.92,Mothbeans
19.91,29.29,21.31,25.56,39.89,4.88,61.66,Mothbeans
25.96,46.09,23.47,29.27,62.6,5.96,52.11,Mothbeans
12.87,46.07,19.38,29.25,52.78,7.47,60.41,Mothbeans
41.16,45.53,17.65,28.49,47.49,8.11,49.31,Mothbeans
20.76,44.55,21.8,27.68,48.49,8.25,42.87,Mothbeans
25.27,51.58,15.92,28.96,45.91,7.62,41.67,Mothbeans
30.2,54.41,22.15,28.5,51.05,6.57,69.05,Mothbeans
19.75,41.02,21.66,26.41,46.56,5.92,47.07,Mothbeans
24.38,49.02,22.38,29.05,51.31,6.85,58.24,Mothbeans
34.54,48.29,18.83,26.01,43.47,7.5,59.0,Mothbeans
29.33,46.7,23.52,27.03,58.47,6.97,45.66,Mothbeans
29.44,50.06,20.89,28.16,52.26,8.79,65.82,Mothbeans
30.42,48.2,22.52,29.04,52.66,6.77,51.59,Mothbeans
1.22,48.82,18.78,31.19,52.62,6.11,51.94,Mothbeans
17.15,50.46,20.73,29.92,47.56,7.03,37.14,Mothbeans
30.26,50.74,21.24,28.0,55.09,8.2,49.29,Mothbeans
26.04,40.71,17.83,28.2,59.4,6.81,49.85,Mothbeans
21.95,44.16,20.74,25.01,60.51,6.5,60.62,Mothbeans
15.48,51.68,21.68,28.77,46.28,7.19,39.19,Mothbeans
23.1,53.93,21.99,28.03,46.41,7.48,52.72,Mothbeans
7.6,52.39,19.94,30.4,45.65,4.62,55.64,Mothbeans
27.19,36.93,17.55,33.51,50.59,7.55,45.18,Mothbeans
9.32,46.44,19.34,27.2,51.78,7.2,50.81,Mothbeans
15.52,50.54,15.13,23.9,57.12,7.38,51.85,Mothbeans
14.53,43.08,19.34,24.81,47.88,7.49,68.56,Mothbeans
21.85,52.23,15.21,29.32,47.48,7.23,49.71,Mothbeans
34.9,42.03,21.57,27.44,51.51,6.86,42.99,Mothbeans
24.89,47.11,20.6,28.17,57.49,7.69,40.68,Mothbeans
31.52,40.09,21.47,29.24,40.55,7.07,47.23,Mothbeans
19.31,55.94,18.37,26.39,52.97,7.51,50.91,Mothbeans
33.75,50.82,14.55,26.94,48.99,7.36,22.97,Mothbeans
44.12,50.82,20.37,30.36,67.15,7.65,63.17,Mothbeans
25.98,46.62,18.81,26.35,48.21,5.99,51.65,Mothbeans
12.36,48.69,19.91,28.29,49.24,9.31,67.8,Mothbeans
15.67,48.96,18.48,25.97,44.12,7.32,44.83,Mothbeans
32.26,53.71,23.43,26.3,55.47,7.47,47.17,Mothbeans
19.21,57.56,20.57,29.27,47.36,6.09,46.09,Mothbeans
24.07,40.85,19.98,24.62,45.5,7.5,59.29,Mothbeans
22.06,41.14,17.43,27.25,56.53,7.7,46.91,Mothbeans
16.35,49.17,17.94,26.96,60.78,7.62,54.28,Mothbeans
15.46,48.82,22.66,27.25,60.94,7.97,71.22,Mothbeans
27.29,51.17,23.54,28.89,49.37,6.66,55.18,Mothbeans
15.32,46.6,22.74,23.62,62.09,7.84,47.33,Mothbeans
29.08,47.52,23.07,29.97,43.75,7.44,50.19,Mothbeans
25.62,42.95,24.37,30.08,47.88,6.0,48.16,Mothbeans
28.26,49.0,23.13,29.58,58.56,7.25,36.87,Mothbeans
23.53,54.13,19.87,29.01,50.51,6.23,51.11,Mothbeans
27.32,43.4,19.41,26.12,59.5,6.78,68.84,Mothbeans
36.47,46.99,17.48,23.83,43.3,5.97,68.01,Mothbeans
25.87,49.94,14.45,25.6,58.04,7.22,50.84,Mothbeans
29.24,57.72,19.45,28.14,53.7,8.79,28.88,Mothbeans
30.12,46.78,21.42,26.69,52.19,7.53,87.52,Mothbeans
31.06,42.2,18.94,27.09,41.28,6.75,60.74,Mothbeans
15.44,54.05,21.22,26.53,51.62,8.2,60.75,Mothbeans
25.07,46.01,20.19,26.98,39.35,8.53,54.25,Mothbeans
27.99,47.14,18.16,27.63,42.5,8.71,38.61,Mothbeans
17.26,44.75,23.22,28.03,44.77,7.94,60.72,Mothbeans
29.04,51.97,25.99,32.37,48.21,8.22,56.81,Mothbeans
28.74,36.92,19.57,29.37,87.07,7.2,34.53,Mungbean
24.83,54.51,19.53,32.46,85.88,6.96,45.8,Mungbean
15.88,40.49,21.77,31.04,84.65,6.71,45.59,Mungbean
32.85,45.4,16.65,32.49,84.49,6.86,57.55,Mungbean
24.85,49.31,17.05,30.56,86.52,6.34,48.76,Mungbean
25.76,47.76,22.59,31.67,88.7,6.53,48.35,Mungbean
25.63,40.82,22.39,35.65,84.96,7.01,48.03,Mungbean
19.65,36.12,18.24,28.22,89.26,6.81,45.34,Mungbean
31.67,40.49,18.08,31.14,87.57,7.01,49.05,Mungbean
25.59,50.0,20.5,28.94,85.12,6.5,48.01,Mungbean
21.4,63.37,19.9,28.19,84.66,7.02,57.96,Mungbean
20.58,37.61,22.04,28.24,83.91,6.77,47.06,Mungbean
30.17,43.23,19.32,30.97,85.37,6.88,50.23,Mungbean
31.33,49.95,21.13,27.84,85.13,7.01,52.06,Mungbean
19.81,43.38,18.56,32.07,87.58,6.72,53.17,Mungbean
25.93,46.72,19.47,32.49,85.81,7.59,42.17,Mungbean
28.89,44.19,17.83,30.98,85.34,7.8,46.35,Mungbean
16.52,49.21,14.81,30.82,85.04,7.11,53.59,Mungbean
21.22,46.56,18.08,28.74,85.77,6.44,44.91,Mungbean
17.54,50.94,24.5,28.4,80.37,6.81,47.6,Mungbean
26.64,44.71,19.5,31.74,87.6,6.21,45.19,Mungbean
26.6,41.76,24.33,29.73,84.9,7.03,43.8,Mungbean
11.15,44.82,22.57,30.33,82.88,7.15,45.43,Mungbean
21.17,48.43,21.93,35.76,87.07,7.23,44.34,Mungbean
17.31,47.89,20.27,28.84,84.56,6.98,49.75,Mungbean
28.78,49.32,18.73,29.97,82.0,7.43,47.58,Mungbean
23.31,41.7,27.34,28.85,83.93,6.99,51.25,Mungbean
32.18,58.8,21.27,28.89,84.36,6.95,60.43,Mungbean
14.52,55.02,20.45,32.68,84.75,6.58,52.19,Mungbean
29.91,53.58,19.97,29.8,81.1,7.12,50.15,Mungbean
17.76,44.13,18.83,28.03,82.96,6.48,44.92,Mungbean
19.46,37.33,25.06,33.51,83.05,6.94,50.11,Mungbean
33.93,42.38,22.73,29.9,81.66,7.09,55.57,Mungbean
44.41,40.0,21.75,30.18,86.96,6.37,39.61,Mungbean
19.18,47.99,18.4,32.32,87.57,7.04,57.62,Mungbean
28.12,39.89,23.41,29.79,87.28,7.36,50.35,Mungbean
13.78,41.76,23.31,30.66,85.2,7.1,51.85,Mungbean
27.09,46.2,19.22,32.72,86.38,6.77,54.26,Mungbean
24.03,42.18,18.1,29.04,84.32,7.25,42.47,Mungbean
26.41,43.4,19.35,27.98,84.45,6.79,50.88,Mungbean
26.67,40.01,22.71,31.42,85.5,6.85,44.26,Mungbean
26.63,50.47,15.63,29.92,84.36,6.93,54.96,Mungbean
19.21,44.39,18.72,29.4,84.13,7.1,40.91,Mungbean
28.21,36.86,18.6,30.34,89.19,6.76,33.74,Mungbean
10.01,47.71,21.53,31.75,85.42,7.23,44.13,Mungbean
31.71,37.3,17.74,27.39,84.31,6.83,48.21,Mungbean
25.46,41.7,19.52,28.01,88.41,6.75,44.44,Mungbean
36.92,39.74,17.19,28.81,84.83,6.99,52.12,Mungbean
44.29,33.44,21.52,29.89,83.53,6.65,41.82,Mungbean
37.63,52.76,20.06,33.7,81.22,6.42,33.89,Mungbean
19.75,48.51,20.26,31.3,81.47,7.11,49.0,Mungbean
30.5,35.67,20.78,28.62,84.01,7.02,48.07,Mungbean
18.61,47.54,16.17,33.3,84.49,7.21,44.21,Mungbean
21.07,42.72,22.19,29.58,86.61,6.73,35.15,Mungbean
20.72,40.13,20.08,28.62,87.31,6.82,46.39,Mungbean
29.92,53.52,19.95,29.46,80.57,6.63,43.64,Mungbean
25.8,45.34,21.72,29.77,84.86,7.23,49.64,Mungbean
24.55,43.74,18.42,29.3,83.65,7.1,46.11,Mungbean
14.88,58.55,20.8,28.19,83.9,6.89,58.15,Mungbean
16.69,53.6,23.5,29.74,84.31,6.51,46.23,Mungbean
24.73,51.62,22.73,29.5,80.08,6.84,49.33,Mungbean
26.87,45.46,20.31,34.03,85.95,6.73,44.37,Mungbean
23.73,57.73,19.54,30.96,83.79,7.21,59.75,Mungbean
28.38,48.02,20.09,26.23,86.86,6.89,50.18,Mungbean
19.66,45.1,18.97,33.04,84.05,7.53,50.19,Mungbean
15.43,46.7,18.37,26.61,89.0,7.08,50.83,Mungbean
26.24,38.86,18.79,32.68,82.37,6.03,46.08,Mungbean
23.94,48.35,21.82,32.28,85.65,7.24,38.01,Mungbean
28.78,51.42,16.9,27.99,83.14,6.63,52.21,Mungbean
20.39,42.15,18.47,33.24,85.03,6.79,46.81,Mungbean
34.69,42.82,23.29,31.42,84.6,7.66,40.9,Mungbean
22.35,39.8,22.38,34.38,89.17,7.25,46.26,Mungbean
22.26,37.06,25.09,31.94,83.77,7.28,41.42,Mungbean
28.05,46.42,21.6,30.87,81.37,6.87,54.06,Mungbean
24.78,52.34,17.39,30.95,83.44,7.09,47.7,Mungbean
30.18,54.3,21.73,31.55,82.5,6.85,44.17,Mungbean
22.42,45.16,17.55,27.09,83.33,6.91,39.07,Mungbean
25.12,59.38,22.56,34.29,85.98,7.23,42.98,Mungbean
20.17,30.38,22.97,34.08,83.62,6.77,42.79,Mungbean
27.87,54.53,15.64,31.82,84.31,6.89,50.37,Mungbean
23.59,46.85,19.47,32.94,86.05,6.92,39.56,Mungbean
22.16,53.12,20.09,32.32,89.42,7.19,48.08,Mungbean
21.17,31.54,19.58,30.35,85.98,6.8,45.5,Mungbean
11.65,41.63,21.19,34.43,84.76,6.96,53.45,Mungbean
18.92,49.79,18.15,32.73,85.38,6.95,42.61,Mungbean
30.3,60.53,17.48,30.32,85.58,7.11,44.0,Mungbean
3.75,55.99,21.9,27.51,83.48,7.36,56.55,Mungbean
32.04,46.4,20.21,30.74,87.82,6.57,42.46,Mungbean
32.58,47.22,23.45,29.66,84.86,6.55,47.55,Mungbean
13.91,44.45,16.41,32.39,86.79,6.29,55.84,Mungbean
43.73,47.79,18.4,36.65,81.7,6.86,48.62,Mungbean
35.09,49.75,18.75,29.1,84.15,6.52,47.8,Mungbean
20.77,38.16,23.14,30.0,81.83,6.8,47.93,Mungbean
